,clade,split,lower,upper,tipsA,tipsB
20,Hominini,Homo–Pan,7.5,10,Homo_sapiens,"Pan_paniscus, Pan_troglodytes"
19,Hominidae,Pongo–Homo,11.2,28,"Gorilla_gorilla, Homo_sapiens, Pan_paniscus, Pan_troglodytes",Pongo_abelii
12,Catarrhini,Homo–Macaca,25,33.7,"Colobus_angolensis_palliatus, Piliocolobus_tephrosceles, Rhinopithecus_bieti, Rhinopithecus_roxellana, Chlorocebus_sabaeus, Macaca_nemestrina, Macaca_fascicularis, Macaca_mulatta, Cercocebus_atys, Mandrillus_leucophaeus, Papio_anubis, Theropithecus_gelada","Gorilla_gorilla, Homo_sapiens, Nomascus_leucogenys, Pan_paniscus, Pan_troglodytes, Pongo_abelii"
11,Anthropoidea,Catarrhini–Platyrrhini,41,62.1,"Aotus_nancymaae, Callithrix_jacchus, Cebus_capucinus_imitator, Saimiri_boliviensis","Gorilla_gorilla, Homo_sapiens, Nomascus_leucogenys, Pan_paniscus, Pan_troglodytes, Pongo_abelii, Colobus_angolensis_palliatus, Piliocolobus_tephrosceles, Rhinopithecus_bieti, Rhinopithecus_roxellana, Chlorocebus_sabaeus, Macaca_nemestrina, Macaca_fascicularis, Macaca_mulatta, Cercocebus_atys, Mandrillus_leucophaeus, Papio_anubis, Theropithecus_gelada"
10,Haplorrhini,crown Tarsius,45,45,"Aotus_nancymaae, Callithrix_jacchus, Cebus_capucinus_imitator, Saimiri_boliviensis, Gorilla_gorilla, Homo_sapiens, Nomascus_leucogenys, Pan_paniscus, Pan_troglodytes, Pongo_abelii, Colobus_angolensis_palliatus, Piliocolobus_tephrosceles, Rhinopithecus_bieti, Rhinopithecus_roxellana, Chlorocebus_sabaeus, Macaca_nemestrina, Macaca_fascicularis, Macaca_mulatta, Cercocebus_atys, Mandrillus_leucophaeus, Papio_anubis, Theropithecus_gelada",Carlito_syrichta
6,Strepsirrhini,Lorisiformes–Lemuriformes,37,58,"Microcebus_murinus, Propithecus_coquereli",Otolemur_garnettii
5,Primates,Haplorrhini–Strepsirrhini,57.6,88.6,"Aotus_nancymaae, Callithrix_jacchus, Cebus_capucinus_imitator, Saimiri_boliviensis, Gorilla_gorilla, Homo_sapiens, Nomascus_leucogenys, Pan_paniscus, Pan_troglodytes, Pongo_abelii, Colobus_angolensis_palliatus, Piliocolobus_tephrosceles, Rhinopithecus_bieti, Rhinopithecus_roxellana, Chlorocebus_sabaeus, Macaca_nemestrina, Macaca_fascicularis, Macaca_mulatta, Cercocebus_atys, Mandrillus_leucophaeus, Papio_anubis, Theropithecus_gelada, Carlito_syrichta","Microcebus_murinus, Otolemur_garnettii, Propithecus_coquereli"
1,Euarchonta,Scandentia–Primates,65,130,"Aotus_nancymaae, Callithrix_jacchus, Cebus_capucinus_imitator, Saimiri_boliviensis, Gorilla_gorilla, Homo_sapiens, Nomascus_leucogenys, Pan_paniscus, Pan_troglodytes, Pongo_abelii, Colobus_angolensis_palliatus, Piliocolobus_tephrosceles, Rhinopithecus_bieti, Rhinopithecus_roxellana, Chlorocebus_sabaeus, Macaca_nemestrina, Macaca_fascicularis, Macaca_mulatta, Cercocebus_atys, Mandrillus_leucophaeus, Papio_anubis, Theropithecus_gelada, Carlito_syrichtaAotus_nancymaae, Callithrix_jacchus, Cebus_capucinus_imitator, Saimiri_boliviensis, Gorilla_gorilla, Homo_sapiens, Nomascus_leucogenys, Pan_paniscus, Pan_troglodytes, Pongo_abelii, Colobus_angolensis_palliatus, Piliocolobus_tephrosceles, Rhinopithecus_bieti, Rhinopithecus_roxellana, Chlorocebus_sabaeus, Macaca_nemestrina, Macaca_fascicularis, Macaca_mulatta, Cercocebus_atys, Mandrillus_leucophaeus, Papio_anubis, Theropithecus_gelada, Carlito_syrichta, Tupaia_chinensis, Galeopterus_variegatus",Tupaia_chinensis
24,Cebidae,Cebus–Saimiri,12.8,18,Cebus_capucinus_imitator,Saimiri_boliviensis
15,Cercopithecidae,Papionini–Cercopithecini,5,23,"Macaca_nemestrina, Macaca_fascicularis, Macaca_mulatta, Cercocebus_atys, Mandrillus_leucophaeus, Papio_anubis, Theropithecus_gelada",Chlorocebus_sabaeus
14,Colobinae,Colobini–Presbytini,9.8,23,"Colobus_angolensis_palliatus, Piliocolobus_tephrosceles","Rhinopithecus_bieti, Rhinopithecus_roxellana"
