distribution_id,clade,lower,upper
CalibrationCladePrior.prior,Euarchontoglires,65.79,125.816
CalibrationCladePrior1.prior,Euarchonta,65.79,125.816
CalibrationCladePrior2.prior,Primates,55.935,66.095
CalibrationCladePrior3.prior,Lorisiformes,18.5,55.8
CalibrationCladePrior4.prior,Cercopithecidae,12.47,25.235
CalibrationCladePrior5.prior,Colobinae,8.125,15.0
CalibrationCladePrior6.prior,Cercopithecinae,6.5,15.0
CalibrationCladePrior7.prior,Papionini,5.33,12.51
CalibrationCladePrior8.prior,Hominoidea,13.4,25.235
CalibrationCladePrior9.prior,Hominidae,12.3,25.235
CalibrationCladePrior10.prior,Homo_Pan,4.631,15.0
CalibrationCladePrior11.prior,Callitrichidae_Cebidae,13.183,34.5
CalibrationCladePrior12.prior,Cebidae,13.032,34.5
